Name,Label,Concept
B01001_001E,"	Estimate!!Total:","Sex by Age	"
B01001_002E,"Estimate!!Total:!!Male:	","Sex by Age	"
B01001_026E,"Estimate!!Total:!!Female:	","Sex by Age	"
B02001_002E,"Estimate!!Total:!!White alone	",Race
B02001_003E,"Estimate!!Total:!!Black or African American alone	",Race
B02001_005E,Estimate!!Total:!!Asian alone,Race
B15003_022E,Estimate!!Total:!!Bachelor's degree,Educational Attainment for the Population 25 Years and Over
B19013_001E,"	Estimate!!Total:",Household Income in the Past 12 Months
B25001_001E,"Estimate!!Total	",Housing Units
B25077_001E,Estimate!!Median value (dollars),Median Value (Dollars)
B19001_001E,"	Estimate!!Total:",Total number of households
